mutation,replicate,time_ns,metric,metric_value
V106A+F227L,1,0.0,SER105-DOR,4.979525566101074
V106A+F227L,1,0.2785515320334262,SER105-DOR,4.419392108917236
V106A+F227L,1,0.5571030640668524,SER105-DOR,3.330078601837158
V106A+F227L,1,0.8356545961002786,SER105-DOR,4.574771404266357
V106A+F227L,1,1.1142061281337048,SER105-DOR,3.8344225883483887
V106A+F227L,1,1.392757660167131,SER105-DOR,4.4202961921691895
V106A+F227L,1,1.6713091922005572,SER105-DOR,3.570833444595337
V106A+F227L,1,1.9498607242339834,SER105-DOR,4.715415954589844
V106A+F227L,1,2.2284122562674096,SER105-DOR,4.116639137268066
V106A+F227L,1,2.506963788300836,SER105-DOR,4.006503105163574
V106A+F227L,1,2.785515320334262,SER105-DOR,3.6523520946502686
V106A+F227L,1,3.064066852367688,SER105-DOR,4.029274940490723
V106A+F227L,1,3.3426183844011144,SER105-DOR,3.4761223793029785
V106A+F227L,1,3.621169916434541,SER105-DOR,4.5778398513793945
V106A+F227L,1,3.8997214484679668,SER105-DOR,3.967197895050049
V106A+F227L,1,4.178272980501393,SER105-DOR,4.366512775421143
V106A+F227L,1,4.456824512534819,SER105-DOR,4.252976417541504
V106A+F227L,1,4.735376044568246,SER105-DOR,3.4241936206817627
V106A+F227L,1,5.013927576601672,SER105-DOR,4.432208061218262
V106A+F227L,1,5.2924791086350975,SER105-DOR,4.101282596588135
V106A+F227L,1,5.571030640668524,SER105-DOR,4.3358988761901855
V106A+F227L,1,5.84958217270195,SER105-DOR,3.4185729026794434
V106A+F227L,1,6.128133704735376,SER105-DOR,4.051567077636719
V106A+F227L,1,6.406685236768802,SER105-DOR,3.6168148517608643
V106A+F227L,1,6.685236768802229,SER105-DOR,4.166021823883057
V106A+F227L,1,6.963788300835655,SER105-DOR,3.693843364715576
V106A+F227L,1,7.242339832869082,SER105-DOR,4.700694561004639
V106A+F227L,1,7.520891364902507,SER105-DOR,4.030122756958008
V106A+F227L,1,7.7994428969359335,SER105-DOR,3.726325273513794
V106A+F227L,1,8.07799442896936,SER105-DOR,3.7357637882232666
